char, gender, email, guid, name, phone, word, bool, dollar
f,Male,sad@ma.ke,9211819e-3668-5bfb-a9e9-b2210bfeb227,Marie Cunningham,(826) 276-4997,mucarer,true,$956.20
z,Female,voac@rol.gr,022523d7-63c2-5fa6-9f0c-c4a82adb79d6,Edna Vargas,(948) 900-4662,ganhidced,false,$3720.08
u,Female,novlocec@wukkuam.ee,7cd9f5c1-fd01-5252-9b05-8a1726770515,Matilda Lloyd,(609) 929-9432,hanotip,true,$9360.37
B,Female,homjukni@kawegkah.is,30856b6c-ba33-57e4-a65c-32f7f3c20480,Violet Griffin,(263) 419-2155,gooticer,false,$2539.39
#,Male,eninosoj@cuheko.dz,d74ba158-0a51-55cb-b04c-117ebe616d3d,Sophie Quinn,(705) 625-4449,bofezata,true,$4717.52
3,Female,lovawos@of.so,e5da658a-fa68-5b05-90aa-92e7420dba8b,Ronnie Shelton,(273) 820-7145,daj,false,$3470.12
u,Female,ba@jolahuf.lt,6f781652-962b-532f-83a0-8ebee3cdf117,Caroline Hudson,(557) 765-8890,gujsuzim,true,$548.52
u,Female,volubrav@meeg.by,51d87010-30f4-5299-b2af-7be29ae848ec,Eula Blair,(500) 846-1091,meakatuz,true,$665.36
b,Male,pemokul@ucewu.pg,cd48270f-ae2f-53c5-a0eb-27453b136216,Evelyn Hopkins,(657) 306-6125,tuz,true,$1682.49
q,Male,ludofa@pokison.jm,9d2548e8-b05f-539d-8835-36d3e62359a6,Roxie Bates,(757) 807-9002,mebadwa,true,$7876.93
9,Female,cevma@ef.to,fbc19061-18bf-5d68-9722-8e42cef5f8fe,Roxie Wells,(729) 260-7375,tam,true,$9614.77
A,Male,paca@akzos.tv,a6ac6e82-1bda-56a8-a58c-2f62002fcef6,Elnora Medina,(515) 712-4264,fapi,true,$1946.04
v,Male,cokavfem@togiwzab.so,a896898e-b882-5fae-b5b6-159328050b44,Lois Horton,(531) 293-2487,wac,true,$6925.19
3,Female,dem@gizekem.ru,ce3ba42d-c3b5-5991-8730-09df910c522b,Henry West,(434) 463-6665,vodzo,true,$4144.07
@,Female,ajogoaja@nocopa.fr,5f4d81ad-7fe1-50af-bdbf-6c4a5188ae49,Jerry Stewart,(408) 837-6913,lobi,false,$6644.62
m,Female,ci@mep.bt,bf83ce45-9fc1-542a-8512-c5df199a0d6d,Cordelia Cook,(332) 324-9102,sisiomi,false,$4519.87
0,Female,befna@banit.tn,4a244951-55b7-571a-9f36-d3cc3ab15e9a,Ola Curry,(563) 777-4238,un,false,$2954.71
J,Female,safzam@banabik.ne,bae9fb8e-45d0-54cb-b57c-19f3b5cb6889,Olga Porter,(661) 752-6539,he,false,$3952.18
v,Female,sivbo@cogman.gr,4f930960-0f08-5823-886f-764f98571844,Minerva Webb,(916) 970-5124,daleriti,false,$9048.80
3,Female,amavabe@el.fo,54886b84-9431-53e5-9f03-0ae7c198fc33,Cecelia Coleman,(800) 972-4681,na,false,$8623.78
J,Female,ocisig@za.me,da3502b5-e72d-5dfa-ad67-5304e19e80f9,Lee Wood,(519) 252-2011,bedan,true,$1056.66
V,Male,legvepo@nidih.ps,47def225-5fde-5d42-8048-061d0cf36470,Aaron Malone,(642) 325-5404,arinour,true,$2652.26
X,Male,mitumib@kepvajsus.mo,4a984792-42a6-5ed8-aefd-256fe71fb174,Maria Salazar,(988) 209-3623,gibhekmaj,false,$9666.81
m,Female,daswauku@itamet.sj,0f763168-4188-5b6a-b6c3-3e678abf36d6,Hunter Erickson,(936) 606-8522,kotvami,true,$6045.22
T,Male,rodilogiw@poccili.my,138280a7-6dd3-57c4-9823-bbb5f87c743f,Glen Flowers,(868) 619-1095,ne,true,$5873.83
g,Female,mome@keal.bw,db5fa8b2-aea4-5db1-9276-8a79c23b2586,Luis Fernandez,(924) 451-5176,uhagij,true,$5105.89
